Country;Indicator Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Korea, Rep.;GDP per capita (current US$);16496.12009;19402.50326;21743.47709;24086.41143;21350.42863;19143.85161;23087.22564;25096.26388;25466.76052;27182.73431;29249.57522;28732.23108;29288.87044;31616.8434;33436.92306;31902.4169;31721.29802;34997.78164
Kuwait;GDP per capita (current US$);27601.40006;36144.99495;42970.66313;45729.80604;55595.40848;37906.1503;39212.63528;49010.32037;51271.14865;47762.72232;43239.81365;29315.19607;27026.6482;29258.28964;32012.1352;30666.22066;24297.70114;32186.76541
Kyrgyzstan;GDP per capita (current US$);433.2349766;476.5518917;543.1107031;721.7695263;966.3938474;871.2242201;880.0385141;1123.883136;1177.975258;1282.438247;1279.770777;1121.082691;1120.667061;1242.770223;1308.139779;1374.031136;1182.521506;1306.177992
Lao PDR;GDP per capita (current US$);410.251319;467.3795927;581.0102436;699.0413761;887.6397349;936.7903214;1127.835236;1363.72529;1566.009745;1815.440238;1984.50867;2125.459057;2309.049076;2439.463355;2553.361866;2598.505523;2593.355097;2535.623434
Latvia;GDP per capita (current US$);6378.666521;7594.902384;9723.446902;14113.52913;16467.14369;12331.92855;11420.994;13338.96224;13847.33794;15007.49186;15742.39134;13786.4568;14331.75159;15695.11515;17865.03109;17945.22222;18207.13964;21080.17745
Lebanon;GDP per capita (current US$);4625.304247;4630.009214;4665.962801;5162.032959;5957.696754;7149.791498;7695.245415;7914.109568;8500.180563;8255.209211;7665.379692;7802.751368;8172.299476;8679.897422;9225.845155;8925.42186;5599.957523;4136.146575
Lesotho;GDP per capita (current US$);761.1810388;850.7752709;910.618541;848.0236874;885.6180571;866.4456896;1104.800538;1265.863867;1205.860003;1141.361038;1165.050705;1113.868632;986.2652568;1062.712399;1162.978792;1094.499438;939.5042491;1040.308623
Libya;GDP per capita (current US$);5823.637943;8108.052608;10060.36104;11158.11227;13921.89923;9560.803808;11611.3586;7784.133214;15765.41979;12589.52971;9408.752546;7867.515731;7945.00605;10529.11627;11838.29871;10542.42902;7034.658365;5908.951323
Lithuania;GDP per capita (current US$);6700.327192;7854.765279;9230.707981;12285.44705;14944.99665;11820.77616;11987.50841;14376.94786;14367.70942;15729.65247;16551.0182;14263.96458;15008.31324;16885.40739;19186.35959;19598.40087;20363.92441;23712.53578
Luxembourg;GDP per capita (current US$);76544.91709;80988.13762;90788.80049;107475.3203;120422.1379;109419.747;110885.9914;119025.0572;112584.6763;120000.1407;123678.7021;105462.0126;106899.2935;110193.2138;116786.5117;112621.8213;117370.4969;133590.147
Macao;GDP per capita (current US$);22381.92296;24886.58189;29637.76645;35782.86109;39745.76222;39754.97449;50676.38919;64528.36014;74111.60582;86853.47342;90873.60249;73220.63173;71919.05267;78985.63229;84923.30876;83183.47239;37646.49565;43873.41716
Madagascar;GDP per capita (current US$);277.5078265;311.7931266;330.5226701;427.8363292;522.8306219;455.4073737;459.375408;516.9025392;504.1737378;526.6880197;517.1361832;455.6380345;464.6161584;503.4980587;512.5439915;512.2796656;462.4042288;503.3520811
Malawi;GDP per capita (current US$);407.58899;417.1022634;443.5236757;478.0280765;557.5190094;630.1091541;688.1391912;769.0525992;563.0615397;501.197173;534.1269771;544.2768724;454.4432661;500.1655472;537.9322041;584.3628673;622.1845914;633.6097333
Malaysia;GDP per capita (current US$);4924.338111;5536.83797;6137.15061;7143.999446;8343.302548;7167.877376;8880.14604;10209.37191;10601.51091;10727.67055;11045.58098;9699.584909;9555.647335;9979.704757;11073.97859;11132.10345;10160.82935;11109.26529
Maldives;GDP per capita (current US$);4060.534405;3789.232024;5010.163424;5746.644258;6743.130961;6719.330257;7158.061411;7409.331704;7447.415454;8222.558022;8872.128664;9434.31191;9640.319191;10063.00371;10823.61048;11118.52623;7282.372916;10366.25678
Mali;GDP per capita (current US$);427.7173197;473.9950471;506.9118388;579.2571403;676.1270005;680.6499581;688.3278655;810.1825565;753.3921368;778.797053;818.4303416;723.504205;750.051809;795.6828021;856.3565959;840.1757461;822.9061375;881.5100886
Malta;GDP per capita (current US$);15243.15901;15866.14215;16723.87768;19485.95061;22205.28275;21083.12592;21798.90293;23155.11484;22526.65578;24769.4496;26753.26013;24921.6779;25623.85563;28823.34576;31566.35811;31506.55684;29196.97775;34218.21474
Mauritania;GDP per capita (current US$);801.7786831;974.6575859;1272.082434;1378.215121;1610.236957;1418.940825;1646.130447;1919.452248;1850.384968;1929.775661;1715.388838;1562.726853;1579.199301;1634.642845;1749.954236;1839.962778;1868.468248;2166.044797
Mauritius;GDP per capita (current US$);5388.062518;5282.900051;5695.975315;6574.663524;8030.052422;7318.12641;8000.376432;9197.042991;9291.236379;9764.644025;10366.35519;9507.871337;9965.725217;10841.68467;11643.4606;11403.25289;9005.462022;9062.722476
Mexico;GDP per capita (current US$);7525.487461;8321.859856;9125.387739;9719.927864;10119.82106;8104.922573;9399.964709;10341.50024;10376.0905;10865.68729;11076.13411;9753.400562;8875.082069;9434.378179;9857.007487;10145.15263;8654.997325;10045.67637
Micronesia, Fed. Sts.;GDP per capita (current US$);2155.78169;2256.011357;2298.636458;2344.403462;2420.749006;2598.403604;2760.01134;2885.441249;3023.585446;2920.700863;2928.448782;2891.322103;3022.653627;3320.354976;3623.329337;3699.081514;3639.412699;3571.336769
Moldova;GDP per capita (current US$);897.1784947;1034.391977;1183.024784;1531.216189;2110.553118;1898.439683;2436.799359;2941.362119;3044.808479;3321.043917;3289.167846;2749.913038;2847.635069;3454.95469;4156.9575;4404.950422;4376.242493;5235.636044
Mongolia;GDP per capita (current US$);784.912072;986.0180411;1322.640676;1625.318473;2134.949833;1718.914022;2660.288176;3793.743654;4402.304523;4422.300876;4211.939435;3919.351214;3690.756778;3708.248221;4165.022821;4394.94715;4041.174145;4566.140131
Montenegro;GDP per capita (current US$);3380.165121;3674.617924;4425.678873;5976.394145;7367.751909;6727.107767;6688.402684;7328.790465;6586.398684;7188.862445;7387.871036;6517.189614;7033.438006;7803.362579;8850.378404;8909.653336;7677.369141;9465.966408
Morocco;GDP per capita (current US$);2177.798828;2237.576172;2433.212646;2751.42334;3180.170654;3118.141602;3067.851807;3302.453125;3164.004639;3377.643555;3430.534668;3139.228271;3132.952148;3288.502686;3492.672363;3498.58252;3258.10498;3795.386963
Mozambique;GDP per capita (current US$);387.4757245;422.6428624;442.5590549;491.0984302;574.7697436;531.0269671;481.268197;605.27347;667.7177895;672.2039886;680.3753004;594.2269178;430.9929451;462.6999701;504.5358261;508.1634038;454.0623643;491.8390749
Myanmar;GDP per capita (current US$);198.3769239;221.8659075;246.6924955;321.8283481;472.2605905;600.9316172;765.2418886;1086.838467;1161.305962;1195.9378;1238.72871;1224.562368;1161.861818;1175.202555;1274.915663;1295.201487;1477.452905;1210.540688
Namibia;GDP per capita (current US$);3407.850912;3692.752796;4027.961706;4394.517549;4222.32636;4322.629351;5445.420063;5873.059381;6017.178488;5463.031366;5544.103813;4965.672829;4614.89218;5453.570623;5687.381186;5126.176143;4252.041807;4919.188955
Nepal;GDP per capita (current US$);279.7242003;309.3104201;341.02814;386.5295864;466.6933791;475.6359761;589.1654349;791.2255767;794.0925593;809.3844577;827.7447049;882.3076635;880.2248937;1027.965474;1161.53435;1185.682318;1139.189892;1229.394205
Netherlands;GDP per capita (current US$);40436.61823;41994.71353;44900.93814;51799.20855;57879.94376;52722.21306;50999.74512;54230.3129;50070.1416;52198.89756;52900.53742;45193.40322;46039.10593;48675.22234;53044.53244;52476.27325;52162.57012;57708.11121
New Caledonia;GDP per capita (current US$);25770.53108;26861.69844;29604.05263;36864.85763;37353.7373;35391.08787;37494.89516;40697.65294;37294.02281;38503.25385;39675.56631;32428.57211;32286.91056;33874.93076;36495.19599;34934.57949;34700.98162;36668.42535
New Zealand;GDP per capita (current US$);25420.33729;27751.06547;26654.5932;32479.98174;31252.96256;28209.36233;33676.77412;38387.62708;39973.38076;42976.64959;44572.89875;38630.72659;40058.19616;42910.97284;43236.88669;42796.43058;41760.59478;49996.42067
Nicaragua;GDP per capita (current US$);1075.998562;1158.881323;1223.083148;1323.839054;1493.904821;1438.096625;1495.733777;1644.801509;1746.421289;1794.782566;1913.521321;2025.327261;2079.445529;2127.277659;1981.863168;1905.638313;1876.607372;2064.925116
Niger;GDP per capita (current US$);281.3253601;316.3656478;331.103768;384.7183451;472.1784269;458.4218899;471.6126878;507.6024956;525.0472844;548.157849;560.7544753;481.1113011;497.0361208;514.5432689;567.3308492;550.9635431;564.8219973;590.6294814
Nigeria;GDP per capita (current US$);992.7452801;1250.406675;1652.15369;1876.412777;2227.789952;1883.887348;2280.111979;2504.878279;2728.022683;2976.756736;3200.953146;2679.554765;2144.779938;1941.879485;2125.834282;2334.023543;2074.613928;2065.749068
North Macedonia;GDP per capita (current US$);2795.897375;3072.679612;3362.970716;4079.390434;4841.253622;4584.712431;4577.689576;5098.094701;4728.313079;5241.053639;5495.7314;4861.55616;5149.586764;5450.497035;6108.739131;6070.388054;5965.450232;6694.641126
Norway;GDP per capita (current US$);57768.41243;67047.17046;74434.11281;85502.75393;97503.54078;80347.14416;88163.20859;101221.8135;102175.9193;103553.8401;97666.69518;74809.9658;70867.361;76131.8384;82792.84271;76430.58895;68340.0181;90655.39102
Occ.Pal.Terr;GDP per capita (current US$);1422.190886;1543.701414;1570.1044;1664.245717;2035.202341;2191.781787;2557.075624;2880.798437;3067.438727;3315.297539;3352.112595;3272.154324;3527.613824;3620.360487;3562.330943;3656.858271;3233.568638;3678.635657
Oman;GDP per capita (current US$);10030.44443;12357.70139;14533.72942;16151.27584;22974.27735;17937.97957;22552.19901;24166.09631;24722.63882;23563.9406;23121.20638;18777.43306;17082.2062;17802.57512;19887.57431;19132.15227;16707.62301;19509.46646
Pakistan;GDP per capita (current US$);631.4711708;688.5005879;770.8433394;837.6315379;914.7314893;884.4410142;911.0899961;1075.45102;1109.678735;1126.040776;1173.392309;1282.443026;1468.822077;1567.64062;1620.742596;1437.165834;1322.314783;1505.010193
Palau;GDP per capita (current US$);8297.895213;9603.797085;9805.92283;10270.45854;10380.26908;9960.84139;10029.28803;10795.56469;11835.38393;12418.82617;13580.00674;15761.36338;16743.37674;16011.66115;15948.27586;15567.09087;14016.2475;12083.88815
Panama;GDP per capita (current US$);4629.029316;4953.12998;5385.564243;6205.821576;7197.110786;7618.438459;8124.558307;9403.439908;10767.29318;11932.28622;12837.24796;13669.55944;14382.23238;15185.97248;16156.07429;16472.83175;13293.33321;15491.28979
Papua New Guinea;GDP per capita (current US$);624.0353213;748.7350734;1245.474263;1379.127071;1635.039364;1578.968437;1879.240444;2303.826661;2653.092358;2578.498647;2742.25005;2502.073746;2332.675664;2495.140474;2584.327738;2593.775798;2446.084413;2644.537173
Paraguay;GDP per capita (current US$);1776.932258;1960.514766;2426.417098;3194.262982;4360.429101;3920.186073;4702.91577;5772.99551;5621.244026;6435.82655;6629.426519;5861.389724;5759.018333;6136.058354;6242.961502;5807.838814;5353.348045;5959.441763
Peru;GDP per capita (current US$);2393.665897;2702.237701;3123.320159;3572.363589;4184.885982;4164.970483;5047.204643;5826.832307;6475.719417;6697.187683;6614.830499;6180.118799;6163.861179;6676.307788;6912.104623;6955.88177;6063.62658;6635.463923
Philippines;GDP per capita (current US$);1122.855528;1245.286591;1452.22142;1741.603505;1990.356146;1893.281623;2201.776819;2431.199965;2671.777538;2847.567954;2935.928578;2974.29692;3038.152046;3077.434432;3194.672704;3413.849067;3224.422811;3460.539401
Poland;GDP per capita (current US$);6681.31036;8021.547064;9035.531788;11254.31409;13995.7831;11525.90197;12504.25019;13776.3894;13010.75692;13558.34256;14181.95018;12560.05142;12378.81176;13815.49995;15504.50894;15700.01358;15816.8204;17999.83227
Portugal;GDP per capita (current US$);18064.15809;18780.12751;19839.45405;22811.05648;24949.04136;23151.21541;22520.64231;23217.2955;20563.7136;21653.19598;22103.70097;19250.10654;19991.97249;21490.42986;23562.55452;23330.81729;22242.40642;24598.47279
Qatar;GDP per capita (current US$);40792.27647;52468.44565;59978.86121;64706.9899;79811.59774;60733.9817;73021.30975;92992.99713;98041.36224;97630.82552;93126.14946;66984.9102;58467.23557;59407.69805;66264.08117;62827.39695;52315.66008;66838.32764
Romania;GDP per capita (current US$);3494.990743;4618.003244;5757.53059;8360.337759;10435.2166;8548.04859;8397.809173;9560.15838;8930.729912;9497.207427;10031.34215;8976.955236;9404.380487;10727.97175;12494.42464;12957.99911;13047.45768;14927.11686
Russian Federation;GDP per capita (current US$);4102.364746;5323.455078;6920.199707;9101.239258;11635.28418;8562.824219;10674.99023;14311.06445;15420.8584;15974.62305;14095.64648;9313.021484;8704.894531;10720.33203;11287.35449;11536.25879;10194.44141;12593.15723
Rwanda;GDP per capita (current US$);270.3030316;325.0242237;358.1108537;427.4199018;529.52427;564.9718753;594.1095118;650.936182;706.139034;704.4235236;724.7286812;733.8228504;728.806677;756.5476049;768.9641303;806.1280144;773.8205575;821.2281941
Samoa;GDP per capita (current US$);2168.027953;2527.762838;2639.805669;3011.100809;3344.054559;3250.953097;3494.39529;3789.626478;3902.312164;3989.898249;3948.728781;4048.467057;4105.810681;4261.640513;4189.052219;4308.301453;4042.722715;3857.356685
Sao Tome and Principe;GDP per capita (current US$);726.5977285;843.9550846;861.5182369;878.1354699;1080.556592;1054.416091;1079.689654;1244.271625;1319.900833;1551.192905;1754.600471;1571.49854;1688.375303;1805.524651;1950.629352;1991.738264;2161.310201;2360.543554
Saudi Arabia;GDP per capita (current US$);10935.01659;13462.76305;14848.60206;15756.19362;18944.85735;15064.63128;17958.94783;22441.57114;24069.20331;23945.51231;23862.80119;20442.36606;19930.40754;20910.48296;24175.58312;23405.70611;20398.06099;24160.67605
Senegal;GDP per capita (current US$);941.8737919;1003.187194;1038.579092;1210.167497;1419.530902;1323.971225;1286.604966;1383.539117;1334.725914;1391.53219;1417.094988;1238.1264;1290.749971;1385.199215;1484.227069;1462.678352;1492.475904;1633.560119
Serbia, FR(Serbia/Montenegro);GDP per capita (current US$);3502.802924;3720.479155;4382.617279;5848.476405;7101.040141;6169.114195;5735.422857;6809.159804;6015.945228;6755.073675;6600.056186;5588.979444;5765.203352;6292.546549;7252.403668;7417.206585;7733.803494;9230.174447
Seychelles;GDP per capita (current US$);10827.67164;11802.11183;12782.99466;12669.30354;11265.43729;9748.955518;10938.15309;12113.88181;12342.51009;14729.62703;15188.17428;14894.48578;15409.80502;15961.24168;16409.47113;16851.11976;12020.02191;12963.06467
Sierra Leone;GDP per capita (current US$);258.4731688;286.2859558;320.5143892;358.0773395;402.553446;386.4338685;400.5406934;443.451832;558.1797747;706.4526652;702.3386033;581.2934118;515.4478314;484.4561156;519.6499835;506.6069082;493.4322524;504.6212722
Singapore;GDP per capita (current US$);27608.07457;29961.30828;33768.44574;39432.89474;40008.57676;38926.81311;47236.67154;53891.46229;55547.54625;56967.42579;57564.80231;55645.60686;56895.64334;61164.89736;66836.53851;66070.47067;61274.00646;77710.06996
Slovak Republic;GDP per capita (current US$);10691.44655;11690.11347;13170.78498;16106.06044;18753.58494;16597.20846;16908.84796;18509.74022;17498.3539;18276.00955;18719.98814;16390.88217;16563.4405;17585.197;19486.39368;19381.59211;19551.62116;21782.85507
Slovenia;GDP per capita (current US$);17233.13856;18098.90854;19672.96556;23817.88673;27595.59997;24792.12798;23532.48085;25128.01504;22641.80512;23503.28249;24247.17332;20890.16643;21678.35947;23514.02546;26123.74713;26016.07868;25545.241;29291.40062
Solomon Islands;GDP per capita (current US$);991.9885636;1145.86655;1250.953787;1377.862006;1504.527559;1526.159971;1661.997814;1921.356345;2087.637662;2208.085253;2235.733596;2134.805424;2196.283908;2283.578944;2450.482931;2398.772963;2222.462143;2232.536956
South Africa;GDP per capita (current US$);5268.278984;5893.186767;6139.581467;6662.062785;6251.877175;6444.18672;8059.562841;8737.04111;8173.869138;7441.230854;6965.137897;6204.929901;5735.066787;6734.475153;7048.508112;6688.774746;5741.641249;7055.055176
Spain;GDP per capita (current US$);24907.00085;26429.15094;28389.07858;32591.35031;35510.72223;32169.50285;30532.48051;31677.90031;28322.94659;29077.18206;29513.65118;25754.36103;26537.15949;28185.32137;30379.72111;29581.51855;26959.67544;30103.51373
Sri Lanka;GDP per capita (current US$);1060.136943;1240.518312;1423.190623;1611.175582;2007.02666;2053.766445;2836.974098;3248.040215;3351.892489;3643.832449;3885.62361;3990.353123;4107.829762;4388.201908;4360.584742;4082.694048;3852.389968;3994.246958
St. Kitts and Nevis;GDP per capita (current US$);10882.35294;11711.15471;13747.80934;14660.96321;16491.88509;16374.25689;16427.62101;17571.98446;17293.80605;18315.91468;19945.39267;20025.88485;21095.25404;22160.60363;22548.15063;23219.40905;18566.01785;18082.68799
St. Lucia;GDP per capita (current US$);6494.600349;6866.092387;7618.90542;7975.792541;8528.682085;8259.322338;8672.128999;9110.75181;9231.661827;9542.713574;10007.18689;10290.35048;10574.3026;11270.4329;11563.87207;11726.67715;8458.075063;9414.137741
St. Vincent and the Grenadines;GDP per capita (current US$);4883.313665;5176.128147;5775.091747;6439.008398;6641.495878;6503.097772;6590.989579;6566.482713;6754.370184;7117.554763;7210.616549;7386.737484;7684.779282;7996.656233;8399.693967;8680.241982;8306.367581;8360.101059
Suriname;GDP per capita (current US$);2906.725278;3474.120757;5031.158465;5562.334068;6616.815126;7176.857658;7999.508366;8009.252302;8922.956186;9124.541093;9199.177893;8907.838127;5705.399232;6112.882912;6730.836783;6690.044786;4796.533314;4869.134226
Sweden;GDP per capita (current US$);42821.75084;43437.13093;46593.29168;53700.24369;56152.55944;46946.84271;52869.04429;60755.75955;58037.82132;61126.9432;60020.36046;51545.48361;51965.15715;53791.50873;54589.06039;51939.42974;52837.90398;61143.22124
Switzerland;GDP per capita (current US$);54659.6403;56243.9473;59008.99301;64991.00515;74175.87764;71565.56998;76531.37294;90476.75897;85836.20768;87304.33058;88724.99094;83806.4476;82153.07454;82254.37693;85216.64295;84121.93103;85656.32267;91991.60046
Syrian Arab Republic;GDP per capita (current US$);6241.058232;7221.643883;7914.771494;8695.844461;10155.97367;10288.14905;11304.64493;2971.282434;1910.604526;993.7398831;1071.234204;857.4978675;664.3416723;862.3190638;1111.872093;1124.520554;537.2113614;
Tajikistan;GDP per capita (current US$);305.2660435;333.7139384;401.0268293;517.4348725;704.6501788;666.7212906;740.2761913;837.8814952;959.3602175;1038.320717;1094.430124;970.3625997;801.39384;844.3652499;850.6669582;889.0233718;852.3302296;916.6919671
United Republic of Tanzania;GDP per capita (current US$);447.5133362;480.2756348;473.367981;539.1223145;671.5736084;681.2437134;730.8132935;768.9334717;854.5432129;955.3212891;1012.984741;929.1072388;942.8813477;975.9245605;1011.59967;1050.932373;1104.164429;1146.031982
Thailand;GDP per capita (current US$);2647.260738;2876.245758;3343.785932;3934.690956;4327.797517;4154.187432;4996.372098;5396.643527;5748.632782;6041.134013;5822.377723;5708.794147;5854.463852;6436.789649;7124.558867;7628.576087;7001.785413;7060.897609
Togo;GDP per capita (current US$);551.8476777;542.8178059;544.0055167;598.3065987;725.8544458;717.677305;709.1406701;779.7635197;759.8959722;826.4286073;853.0078138;760.2429116;787.2801616;814.4198376;873.5551563;848.3048269;875.2454099;964.0500102
Tonga;GDP per capita (current US$);2195.985939;2478.427122;2751.960017;2799.368777;3221.079699;2915.494578;3416.110432;3852.143788;4378.572815;4208.188686;4125.426028;4117.93037;3978.438212;4367.25563;4649.613513;4878.978188;4605.970878;4425.970591
Trinidad and Tobago;GDP per capita (current US$);9756.513279;11673.85875;13340.91627;15627.28682;20011.14827;13682.76361;15711.53817;17910.31718;18961.23359;19821.52865;20327.98346;18389.53103;15991.10879;16094.66678;16164.16133;15690.9631;13871.79822;16032.50277
Tunisia;GDP per capita (current US$);3029.849579;3106.575832;3279.10282;3678.061523;4200.17378;4029.461206;4241.01191;4361.948089;4233.917158;4308.337421;4398.638695;3960.924849;3796.109011;3569.718839;3577.16946;3477.844271;3497.733231;3807.184563
Turkey;GDP per capita (current US$);6031.79031;7369.431295;8003.812177;9668.399443;10802.60048;8989.735883;10614.98457;11308.37174;11697.47436;12507.80316;12020.34966;10851.92011;10734.25647;10464.00779;9400.836337;9103.012397;8561.064333;9661.227734
Turkmenistan;GDP per capita (current US$);1418.806266;1658.672779;2074.407389;2520.285026;3778.668539;3901.670283;4286.880505;5453.155005;6441.886618;7049.797505;7685.509859;6208.296655;6163.253406;6354.53283;6721.34954;7180.459552;7297.180042;
Turks and Caicos Isl.;GDP per capita (current US$);21233.9324;24115.26568;28728.56972;29446.08269;31459.54343;24602.91102;23103.94268;23649.71443;22666.40691;22451.56873;24040.87466;25783.2941;26995.03216;25659.19586;26831.97146;27795.14856;20882.26127;23158.6379
Tuvalu;GDP per capita (current US$);2328.492145;2311.337166;2402.479309;2803.247294;3103.039909;2697.635293;3043.165323;3663.266294;3624.984174;3536.901175;3556.378789;3384.382534;3836.073071;4181.437569;4419.256323;4940.050682;4674.909088;5372.756766
Uganda;GDP per capita (current US$);292.4726656;330.6028543;346.7684624;401.7091877;473.3028336;799.9296321;824.7376712;837.0958843;796.7111393;819.7578674;897.5097285;864.1800594;753.6844055;766.177604;793.1280823;823.0247328;846.8811992;883.4657281
Ukraine;GDP per capita (current US$);1416.60376;1894.460083;2391.323975;3197.934326;4066.53125;2639.37793;3078.414795;3704.842285;4004.789795;4187.739746;3104.653809;2124.662598;2187.727539;2638.325439;3096.5625;3661.457764;3751.737305;4827.845703
United Arab Emirates;GDP per capita (current US$);37017.73637;42190.55438;45339.58512;43918.38017;45140.76908;31722.58876;34165.91331;40893.02336;44386.78608;45729.60768;46865.9646;41525.1389;41054.53957;43063.96748;46722.26872;45376.17084;37629.17417;44315.55418
United Kingdom;GDP per capita (current US$);40392.26486;42131.82707;44537.71234;50438.2296;47432.8791;38820.01459;39693.19387;42150.69814;42485.58607;43449.09172;47447.58893;45071.07432;41146.07736;40622.68939;43306.3083;42747.08046;40318.41692;46585.89756
United States;GDP per capita (current US$);41724.63163;44123.40707;46302.00088;48050.22378;48570.04598;47194.94335;48650.64313;50065.9665;51784.41857;53291.12769;55123.84979;56762.72945;57866.74493;59907.75426;62823.30944;65120.39466;63528.6343;70219.47245
Uruguay;GDP per capita (current US$);4130.100115;5233.457171;5942.126667;7149.374634;9328.065857;9780.739473;12512.59413;14975.56256;16087.25208;18140.89192;18131.57885;16950.75338;16837.94038;18995.39702;19026.04961;18098.36155;15650.49943;17923.99533
Uzbekistan;GDP per capita (current US$);465.1198869;546.7768502;654.2838373;830.4076942;1082.286025;1213.265328;1742.349256;2051.129515;2267.623275;2419.718744;2628.460054;2753.971058;2704.677189;1916.764625;1604.258642;1795.201768;1759.307471;1993.424478
Vanuatu;GDP per capita (current US$);1718.263029;1814.81782;1970.898405;2261.459294;2525.083912;2472.463556;2732.551557;3064.751212;2906.342461;2877.444528;2861.203164;2643.886894;2757.203306;3032.19702;3076.835315;3076.589886;2917.756849;3044.57364
Venezuela;GDP per capita (current US$);4287.631579;5456.322425;6769.868414;8369.235268;11310.77817;11641.79915;13692.91497;10877.11236;12937.9276;12433.98079;15975.72938;;;;;;;
Viet Nam;GDP per capita (current US$);551.9035051;693.1898425;790.5925164;913.3123316;1158.101627;1225.845009;1684.011667;1953.556979;2190.232284;2367.499542;2558.778924;2595.234979;2760.717101;2992.071746;3267.225009;3491.091279;3586.347297;3756.489122
Yemen;GDP per capita (current US$);669.1033619;785.4512497;867.7829367;956.2306352;1153.536424;1045.80558;1249.063085;1284.617635;1349.990295;1497.747941;1557.601406;1488.416267;1069.816997;893.7165729;701.7148778;693.8164835;583.8756629;603.7079594
Zambia;GDP per capita (current US$);556.0500066;720.4465047;1065.596417;1133.436158;1393.519491;1150.941746;1469.36145;1644.456831;1729.647471;1840.320553;1724.57622;1307.909649;1249.923143;1495.752138;1475.199836;1268.120941;956.8317475;1137.344395
Zimbabwe;GDP per capita (current US$);477.399491;470.7837614;441.4987969;425.0368417;351.8391005;762.2979603;937.84034;1082.615773;1290.193957;1408.36781;1407.034291;1410.329173;1421.787791;1192.107012;2269.177012;1421.868596;1372.696674;1773.920411
